map_id,participant,agent_type,distance,duration,speed,angle,num_cars,distractors,accumulated_head_turns,end_x,end_z,end_to_target_dist,estimate_correct,estimate_to_target_dist,idx
M0001,p01,human,0.023931568846013194,0.997,0.024003579584767495,front,5,0,53.40548801422119,30.4396915435791,1.023292064666748,13.116082753665072,1,1.2997467675398993,113
M0001,p02,human,0.03592943171053639,1.553,0.023135500135567543,front,5,0,38.863670349121094,30.387985229492188,1.055535078048706,13.113720293628653,1,0.720308271699287,253
M0001,p03,human,0.047893996490043445,0.886,0.05405642944700163,front,5,0,41.89615249633789,30.462642669677734,1.0432990789413452,13.087355532989651,1,2.550956459201614,265
M0001,p04,human,0.08266105410677685,1.219,0.06781054479637148,front,5,0,37.386601001024246,30.38559341430664,1.107169508934021,13.070159984970209,1,2.530986512382121,127
M0001,p05,human,0.09863661652845836,1.663,0.059312457323186026,front,5,0,55.7285041809082,30.49320411682129,0.9752520322799683,13.131619050977976,1,2.845679023502254,232
M0001,p06,human,0.04762708472038863,2.554,0.018648036303989285,front,5,0,126.21596240997314,30.458820343017578,1.0341297388076782,13.097217383624901,1,2.8053716652580256,204
M0001,p07,human,0.0788353139443344,1.203,0.0655322642928798,front,5,0,81.9907054901123,30.49525260925293,1.0288985967636108,13.08384965183561,1,2.126820385679916,8
M0001,p08,human,0.11912439302223125,0.996,0.11960280423918801,front,5,0,30.942049026489258,30.527740478515625,1.0375432968139648,13.060395177468063,1,2.2577591551271494,185
M0001,p09,human,0.32035338335914426,5.441,0.05887766648762071,front,5,0,345.7652852088213,30.538822174072266,1.3321211338043213,12.798755087223846,1,1.2853358299973463,21
M0001,p10,human,0.4157255643757985,1.885,0.22054406598185597,front,5,0,72.01980400085449,30.567014694213867,1.422670602798462,12.706217190956774,1,0.4845706710107845,86
M0001,p11,human,0.1850851029634197,1.774,0.10433207607859059,front,5,0,95.72317481040955,30.248516082763672,1.1194517612457275,13.128611616635839,1,4.0144663580401705,227
M0001,p12,human,1.1751728017011915,1.775,0.6620691840570093,front,5,0,42.83320617675781,30.677152633666992,2.2947325706481934,11.900682617260454,1,0.5286342136795783,70
M0001,agent_1,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0001,agent_2,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.035714013236691,111
M0001,agent_3,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.0833346048991204,111
M0001,agent_4,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.035714013236691,111
M0001,agent_5,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.0833346048991204,111
M0001,agent_6,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0001,agent_7,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.035714013236691,111
M0001,agent_8,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0001,agent_9,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0001,agent_10,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0001,agent_11,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0001,agent_12,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,1.0357142857142847,13.116677041709991,1,1.4987723350209268,111
M0002,p01,human,0.019361676013451123,0.885,0.02187760001519901,front,5,0,8.53846549987793,30.435983657836914,3.1074106693267822,9.865159091413906,1,1.0171788626963714,241
M0002,p02,human,0.08292062009298753,1.551,0.05346268220050776,front,5,0,108.46714581549168,30.501916885375977,3.113152503967285,9.838327299085424,1,0.5415638331906605,122
M0002,p03,human,0.021780056611858493,0.776,0.028067083262704243,front,5,0,17.179866790771484,30.437973022460938,3.1148717403411865,9.857457979480934,1,1.4890698140821481,208
M0002,p04,human,0.02077727598310854,1.772,0.011725325046900981,front,5,0,49.44371223449707,30.3989315032959,3.118767738342285,9.86663829438661,1,0.3058104224552156,25
M0002,p05,human,0.17408285632290152,1.995,0.08725957710421128,front,5,0,106.70570611953735,30.236658096313477,3.090583324432373,9.948014597772918,1,0.831269200080459,121
M0002,p06,human,0.04150577322558056,1.219,0.034049034639524654,front,5,0,21.261981964111328,30.45673370361328,3.099663019180298,9.865709046249044,1,0.3646431013136292,51
M0002,p07,human,0.03513222613865195,1.537,0.02285766176880413,front,5,0,73.65197554323822,30.45212173461914,3.1052162647247314,9.861960448471534,1,0.9412519984077271,0
M0002,p08,human,0.10366586299457278,1.104,0.09390023821972171,front,5,0,22.471324801445007,30.52056312561035,3.0992512702941895,9.845516502028621,1,0.7668603312107478,223
M0002,p09,human,0.03299598511406321,1.886,0.017495220102896718,front,5,0,27.529445987194777,30.447004318237305,3.1140825748443604,9.855249439162842,1,0.9113025075280972,87
M0002,p10,human,3.3343901466166743,6.667,0.5001335153167353,front,5,0,100.70513387024403,31.771337509155273,6.150191783905029,6.558226270829072,1,0.623112806685728,159
M0002,p11,human,0.06296270942076536,2.218,0.028387154833528116,front,5,0,40.12247276306152,30.47978973388672,3.1053097248077393,9.852888234775364,1,2.2080872917708536,98
M0002,p12,human,0.01764681494812688,0.886,0.01991739836131702,front,5,0,26.61382484436035,30.38523292541504,3.1020009517669678,9.886998416340626,1,1.5230255057407505,136
M0002,agent_1,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_2,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.4987723350209268,239
M0002,agent_3,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_4,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_5,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,2.0714282989505857,239
M0002,agent_6,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_7,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.4987719584330017,239
M0002,agent_8,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_9,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_10,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.035714013236691,239
M0002,agent_11,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,1.0833346048991204,239
M0002,agent_12,agent,0.0,1.5267175572519083,0.0,front,5,0,0.0,30.416666666666668,3.1071428571428577,9.871754857025138,1,2.0714282989505857,239
M0003,p01,human,0.07223067645724997,1.131,0.06386443541755081,front,5,0,110.08138275146484,26.080244064331055,3.186835289001465,10.893677735110733,1,0.7314086010262763,128
