"map_id","participant","agent_type","distance","duration","speed","angle","num_cars","distractors","accumulated_head_turns","end_x","end_z","end_to_target_dist","estimate_correct","estimate_to_target_dist","idx","actor"
"M0001","p01","human",0.0239315688460132,0.997,0.0240035795847675,"front","5","0",53.4054880142212,30.4396915435791,1.02329206466675,13.1160827536651,1,1.2997467675399,113,"human"
"M0001","p02","human",0.0359294317105364,1.553,0.0231355001355675,"front","5","0",38.8636703491211,30.3879852294922,1.05553507804871,13.1137202936287,1,0.720308271699287,253,"human"
"M0001","p03","human",0.0478939964900435,0.886,0.0540564294470016,"front","5","0",41.8961524963379,30.4626426696777,1.04329907894135,13.0873555329897,1,2.55095645920161,265,"human"
"M0001","p04","human",0.0826610541067768,1.219,0.0678105447963715,"front","5","0",37.3866010010242,30.3855934143066,1.10716950893402,13.0701599849702,1,2.53098651238212,127,"human"
"M0001","p05","human",0.0986366165284584,1.663,0.059312457323186,"front","5","0",55.7285041809082,30.4932041168213,0.975252032279968,13.131619050978,1,2.84567902350225,232,"human"
"M0001","p06","human",0.0476270847203886,2.554,0.0186480363039893,"front","5","0",126.215962409973,30.4588203430176,1.03412973880768,13.0972173836249,1,2.80537166525803,204,"human"
"M0001","p07","human",0.0788353139443344,1.203,0.0655322642928798,"front","5","0",81.9907054901123,30.4952526092529,1.02889859676361,13.0838496518356,1,2.12682038567992,8,"human"
"M0001","p08","human",0.119124393022231,0.996,0.119602804239188,"front","5","0",30.9420490264893,30.5277404785156,1.03754329681396,13.0603951774681,1,2.25775915512715,185,"human"
"M0001","p09","human",0.320353383359144,5.441,0.0588776664876207,"front","5","0",345.765285208821,30.5388221740723,1.33212113380432,12.7987550872238,1,1.28533582999735,21,"human"
"M0001","p10","human",0.415725564375798,1.885,0.220544065981856,"front","5","0",72.0198040008545,30.5670146942139,1.42267060279846,12.7062171909568,1,0.484570671010784,86,"human"
"M0001","p11","human",0.18508510296342,1.774,0.104332076078591,"front","5","0",95.7231748104096,30.2485160827637,1.11945176124573,13.1286116166358,1,4.01446635804017,227,"human"
"M0001","p12","human",1.17517280170119,1.775,0.662069184057009,"front","5","0",42.8332061767578,30.677152633667,2.29473257064819,11.9006826172605,1,0.528634213679578,70,"human"
"M0002","p01","human",0.0193616760134511,0.885,0.021877600015199,"front","5","0",8.53846549987793,30.4359836578369,3.10741066932678,9.86515909141391,1,1.01717886269637,241,"human"
"M0002","p02","human",0.0829206200929875,1.551,0.0534626822005078,"front","5","0",108.467145815492,30.501916885376,3.11315250396729,9.83832729908542,1,0.54156383319066,122,"human"
"M0002","p03","human",0.0217800566118585,0.776,0.0280670832627042,"front","5","0",17.1798667907715,30.4379730224609,3.11487174034119,9.85745797948093,1,1.48906981408215,208,"human"
"M0002","p04","human",0.0207772759831085,1.772,0.011725325046901,"front","5","0",49.4437122344971,30.3989315032959,3.11876773834229,9.86663829438661,1,0.305810422455216,25,"human"
"M0002","p05","human",0.174082856322902,1.995,0.0872595771042113,"front","5","0",106.705706119537,30.2366580963135,3.09058332443237,9.94801459777292,1,0.831269200080459,121,"human"
"M0002","p06","human",0.0415057732255806,1.219,0.0340490346395247,"front","5","0",21.2619819641113,30.4567337036133,3.0996630191803,9.86570904624904,1,0.364643101313629,51,"human"
"M0002","p07","human",0.0351322261386519,1.537,0.0228576617688041,"front","5","0",73.6519755432382,30.4521217346191,3.10521626472473,9.86196044847153,1,0.941251998407727,0,"human"
"M0002","p08","human",0.103665862994573,1.104,0.0939002382197217,"front","5","0",22.471324801445,30.5205631256104,3.09925127029419,9.84551650202862,1,0.766860331210748,223,"human"
"M0002","p09","human",0.0329959851140632,1.886,0.0174952201028967,"front","5","0",27.5294459871948,30.4470043182373,3.11408257484436,9.85524943916284,1,0.911302507528097,87,"human"
"M0002","p10","human",3.33439014661667,6.667,0.500133515316735,"front","5","0",100.705133870244,31.7713375091553,6.15019178390503,6.55822627082907,1,0.623112806685728,159,"human"
"M0002","p11","human",0.0629627094207654,2.218,0.0283871548335281,"front","5","0",40.1224727630615,30.4797897338867,3.10530972480774,9.85288823477536,1,2.20808729177085,98,"human"
"M0002","p12","human",0.0176468149481269,0.886,0.019917398361317,"front","5","0",26.6138248443604,30.385232925415,3.10200095176697,9.88699841634063,1,1.52302550574075,136,"human"
"M0003","p01","human",0.07223067645725,1.131,0.0638644354175508,"front","5","0",110.081382751465,26.0802440643311,3.18683528900146,10.8936777351107,1,0.731408601026276,128,"human"
"M0003","p02","human",0.0238690812947846,1.867,0.0127847248499114,"front","5","0",128.416351318359,26.1066722869873,3.10038304328919,10.8588559874046,1,0.321836668662206,178,"human"
"M0003","p03","human",0.014586106713247,1.211,0.0120446793668431,"front","5","0",4.22115325927734,26.0913906097412,3.11640119552612,10.8755964018091,1,0.799820933654945,87,"human"
"M0003","p04","human",0.0128523897778636,1.22,0.0105347457195603,"front","5","0",5.05001831054688,26.0680675506592,3.10384654998779,10.8976152126066,1,1.72420673661507,68,"human"
"M0003","p05","human",0.0233026826199388,1.305,0.0178564617777309,"front","5","0",7.14375305175781,26.0878810882568,3.12927436828613,10.8803337469121,1,1.53726427083837,89,"human"
"M0003","p06","human",0.0277135551008047,2.775,0.00998686670299268,"front","5","0",174.916420936584,26.1105728149414,3.10592341423035,10.8554995953142,1,0.888228028827358,5,"human"
"M0003","p07","human",0.0285710150363064,2.751,0.0103856834010565,"front","5","0",271.109275817871,26.0993328094482,3.08662986755371,10.864868753429,1,0.839447364962415,75,"human"
"M0003","p08","human",0.213465270339253,1.348,0.158357025474223,"front","5","0",25.1758651733398,26.0808391571045,3.32443380355835,10.9080340836935,1,0.76212453934787,62,"human"
"M0003","p09","human",0.0382543258667928,1.677,0.0228111662890834,"front","5","0",8.50602722167969,26.0790195465088,3.14592719078064,10.8907837192194,1,1.23220061772919,106,"human"
"M0003","p10","human",1.87263666937777,4.511,0.415126727860291,"front","5","0",46.0834426879883,27.9506530761719,2.89977169036865,9.00419762587497,1,0.774822460378114,134,"human"
"M0003","p11","human",2.85484289341509,21.206,0.134624299415971,"front","5","0",460.751667022705,28.8690357208252,2.49065232276917,8.05854409238395,1,1.67779901350581,63,"human"
"M0003","p12","human",1.73680177431766,4.238,0.409816369588876,"front","5","0",344.45140838623,27.9375953674316,2.88231086730957,9.01561281248907,1,1.51788362788055,227,"human"
"M0004","p01","human",0.934263015111556,3.462,0.269862222735863,"front","5","0",277.491516113281,37.110164642334,-12.1519165039062,11.2521488059134,1,2.06293712305834,44,"human"
"M0004","p02","human",1.50667331879222,3.361,0.448281261169955,"front","5","0",215.513916015625,36.5153312683105,-12.1345300674438,10.8943763609038,1,0.427063105062257,86,"human"
"M0004","p03","human",0.127683464118012,1.331,0.0959304764222481,"front","5","0",45.1657409667969,37.8786849975586,-12.463662147522,11.9677140263096,1,1.5132722913403,113,"human"
"M0004","p04","human",0.283229806753068,1.61,0.175919134629235,"front","5","0",59.1151397079229,37.7285118103027,-12.3394327163696,11.7770226920469,1,1.04275405902115,186,"human"
"M0004","p05","human",0.0262986570117755,1.334,0.0197141356909861,"front","5","0",41.3581871539354,37.9736862182617,-12.4365186691284,12.006073708031,1,1.33106279717213,181,"human"
"M0004","p06","human",0.0733931630734703,1.208,0.0607559296965813,"front","5","0",42.3982238769531,37.9293670654297,-12.4503555297852,11.9890074071117,1,1.30202894848934,193,"human"
"M0004","p07","human",0.0717475645710013,1.114,0.0644053541929994,"front","5","0",92.3974307775497,37.9774894714355,-12.4901943206787,12.0502159560823,1,1.1673868874171,267,"human"
"M0004","p08","human",0.318092680605125,1.336,0.238093323806231,"front","5","0",54.2983867675066,37.6955642700195,-12.522458076477,11.9008621104685,1,0.441809976766892,65,"human"
"M0004","p09","human",0.206886261102612,4.455,0.0464391158479488,"front","5","0",199.74366144021,37.7930145263672,-12.4128503799438,11.8746245565463,1,0.363560401761122,18,"human"
"M0004","p10","human",3.15615609858104,5.105,0.618248011475229,"front","5","0",98.11572265625,35.5915374755859,-10.3882532119751,8.93274098339734,1,0.256486707649388,34,"human"
"M0004","p11","human",0.083203937312418,1.333,0.0624185576237195,"front","5","0",47.7869957368821,37.9201316833496,-12.4514236450195,11.9840551971091,1,11.8885362367214,31,"human"
"M0004","p12","human",0.311752594234562,1.432,0.217704325582795,"front","5","0",36.9971923828125,37.6977348327637,-12.4934463500977,11.8792531280709,1,1.66914348785644,120,"human"
"M0005","p01","human",0.0141467435111593,1.443,0.00980370305693648,"front","5","0",8.07695007324219,33.6788139343262,-2.0783417224884,11.8373739586692,1,3.02744738421421,56,"human"
"M0005","p02","human",0.511038480052507,2.774,0.184224398000183,"front","5","0",360.706329345703,33.4713897705078,-2.53965997695923,11.4550160248854,1,1.48789330451552,114,"human"
"M0005","p03","human",0.0606863971408966,3.999,0.0151753931335075,"front","5","0",105.164855957031,33.7236747741699,-2.04730725288391,11.8550666655545,1,2.046093201063,52,"human"
"M0005","p04","human",0.0259474922519142,0.996,0.0260516990481066,"front","5","0",13.2356719970703,33.6930198669434,-2.07269477844238,11.8389295986198,1,1.65464306108544,240,"human"
"M0005","p05","human",0.0820400532090665,1.113,0.0737107396307875,"front","5","0",15.1082305908203,33.7469100952148,-2.10220742225647,11.7959395977385,1,2.08526012226547,68,"human"
"M0005","p06","human",0.00532567092140737,0.777,0.00685414532999661,"front","5","0",2.00555419921875,33.6689720153809,-2.07153940200806,11.8466113487149,1,1.87216678777271,188,"human"
"M0005","p07","human",0.186348135375023,2.109,0.0883585279160849,"front","5","0",320.662197113037,33.479923248291,-2.08367896080017,11.8882053835846,1,2.02476132945715,254,"human"
"M0005","p08","human",0.026207259512676,0.771,0.033991257474288,"front","5","0",10.239501953125,33.6891441345215,-2.05845785140991,11.8536839104523,1,1.64574264111329,221,"human"
"M0005","p09","human",0.421020929160619,5.779,0.0728535956325695,"front","5","0",315.430335998535,33.8740425109863,-2.43844151496887,11.4379549222069,1,2.8490553494622,12,"human"
"M0005","p10","human",0.0387425637790627,1.441,0.0268858874247486,"front","5","0",31.2133026123047,33.7006759643555,-2.05184102058411,11.8569178698549,1,1.2047790437794,36,"human"
"M0005","p11","human",0.0140501880520787,4.222,0.00332785126766431,"front","5","0",13.9014282226562,33.6829719543457,-2.08543038368225,11.8294184747814,1,3.41548969020245,200,"human"
"M0005","p12","human",0.00769931319171054,0.887,0.00868017270767817,"front","5","0",8.68209838867188,33.6647262573242,-2.0769202709198,11.8426018906152,1,1.72895840590902,197,"human"
"M0006","p01","human",0.0814310557992897,0.887,0.09180502344903,"front","5","0",39.3664398193359,32.5000953674316,-4.17602252960205,9.51906052713129,1,2.81500101100362,12,"human"
"M0006","p02","human",0.397664211883392,1.996,0.199230567075848,"front","5","0",135.231719970703,32.3662147521973,-4.48059701919556,9.1927909382802,1,0.162579460086182,106,"human"
"M0006","p03","human",0.0227256757311299,3.333,0.00681838455779475,"front","5","0",104.976638793945,32.5740776062012,-4.12109708786011,9.58903545514872,1,2.55935678162035,141,"human"
